a,p,q,f,l,T,m,M
3800412314,87815.04000000,0.00059000,5723749199,5723749199,1767229258880,False,True
3800412315,87815.03000000,0.00056000,5723749200,5723749200,1767229260269,True,True
3800412316,87815.03000000,0.00011000,5723749201,5723749201,1767229260466,True,True
3800412317,87815.04000000,0.03958000,5723749202,5723749214,1767229260665,False,True
3800412318,87815.04000000,0.00130000,5723749215,5723749215,1767229260968,False,True
3800412319,87815.04000000,0.00011000,5723749216,5723749216,1767229261059,False,True
3800412320,87815.04000000,0.00032000,5723749217,5723749217,1767229261113,False,True
3800412321,87815.04000000,0.00055000,5723749218,5723749218,1767229261205,False,True
3800412322,87815.03000000,0.00633000,5723749219,5723749219,1767229261369,True,True
3800412323,87815.03000000,0.06011000,5723749220,5723749220,1767229261441,True,True
3800412324,87815.04000000,0.01060000,5723749221,5723749222,1767229261536,False,True
3800412325,87815.03000000,0.00066000,5723749223,5723749223,1767229261817,True,True
3800412326,87815.04000000,0.51519000,5723749224,5723749313,1767229263065,False,True
3800412327,87815.05000000,0.00255000,5723749314,5723749341,1767229263065,False,True
3800412328,87815.06000000,0.00894000,5723749342,5723749347,1767229263065,False,True
3800412329,87815.20000000,0.00036000,5723749348,5723749353,1767229263065,False,True
3800412330,87815.39000000,0.00327000,5723749354,5723749358,1767229263065,False,True
3800412331,87815.41000000,0.00018000,5723749359,5723749361,1767229263065,False,True
3800412332,87815.42000000,0.05063000,5723749362,5723749366,1767229263065,False,True
3800412333,87816.01000000,0.00277000,5723749367,5723749370,1767229263065,False,True
3800412334,87816.37000000,0.00006000,5723749371,5723749371,1767229263065,False,True
3800412335,87816.51000000,0.00083000,5723749372,5723749376,1767229263065,False,True
3800412336,87816.74000000,0.00036000,5723749377,5723749382,1767229263065,False,True
3800412337,87816.75000000,0.13006000,5723749383,5723749439,1767229263115,False,True
3800412338,87816.76000000,0.00105000,5723749440,5723749456,1767229263115,False,True
3800412339,87817.23000000,0.00018000,5723749457,5723749459,1767229263115,False,True
3800412340,87817.24000000,0.03289000,5723749460,5723749467,1767229263115,False,True
3800412341,87817.25000000,0.00006000,5723749468,5723749468,1767229263115,False,True
3800412342,87817.56000000,0.00006000,5723749469,5723749469,1767229263115,False,True
3800412343,87817.96000000,0.00007000,5723749470,5723749470,1767229263115,False,True
3800412344,87818.48000000,0.00006000,5723749471,5723749471,1767229263115,False,True
3800412345,87818.59000000,0.00012000,5723749472,5723749473,1767229263115,False,True
3800412346,87818.59000000,0.00368000,5723749474,5723749474,1767229264012,True,True
