a,p,q,f,l,T,m,M
1850078739,2976.30000000,0.00380000,3402568079,3402568080,1767243650100,False,True
1850078740,2976.31000000,0.00180000,3402568081,3402568081,1767243650100,False,True
1850078741,2976.37000000,0.05890000,3402568082,3402568102,1767243650105,False,True
1850078742,2976.40000000,0.00370000,3402568103,3402568104,1767243650105,False,True
1850078743,2976.41000000,0.00540000,3402568105,3402568107,1767243650105,False,True
1850078744,2976.42000000,0.00800000,3402568108,3402568111,1767243650105,False,True
1850078745,2976.43000000,0.00260000,3402568112,3402568112,1767243650105,False,True
1850078746,2976.45000000,0.02140000,3402568113,3402568114,1767243650105,False,True
1850078747,2976.45000000,0.01640000,3402568115,3402568118,1767243650106,False,True
1850078748,2976.47000000,0.00540000,3402568119,3402568121,1767243650106,False,True
1850078749,2976.48000000,0.00340000,3402568122,3402568123,1767243650106,False,True
1850078750,2976.49000000,0.00540000,3402568124,3402568126,1767243650106,False,True
1850078751,2976.50000000,0.23810000,3402568127,3402568127,1767243650106,False,True
1850078752,2976.50000000,0.26870000,3402568128,3402568128,1767243650106,False,True
1850078753,2976.50000000,0.03980000,3402568129,3402568129,1767243650106,False,True
1850078754,2976.50000000,0.07300000,3402568130,3402568130,1767243650120,False,True
1850078755,2976.50000000,0.07300000,3402568131,3402568141,1767243650122,False,True
1850078756,2976.50000000,0.05930000,3402568142,3402568168,1767243650122,False,True
1850078757,2976.51000000,0.01370000,3402568169,3402568176,1767243650122,False,True
1850078758,2976.50000000,0.00260000,3402568177,3402568177,1767243650122,False,True
1850078759,2976.51000000,0.00070000,3402568178,3402568178,1767243650122,False,True
1850078760,2976.52000000,0.05640000,3402568179,3402568181,1767243650122,False,True
1850078761,2976.53000000,0.00360000,3402568182,3402568183,1767243650122,False,True
1850078762,2976.54000000,0.00950000,3402568184,3402568188,1767243650122,False,True
1850078763,2976.56000000,0.00020000,3402568189,3402568189,1767243650122,False,True
1850078764,2976.56000000,0.01380000,3402568190,3402568196,1767243650122,False,True
1850078765,2976.57000000,0.08020000,3402568197,3402568197,1767243650122,False,True
1850078766,2976.57000000,0.07300000,3402568198,3402568198,1767243650123,False,True
1850078767,2976.57000000,0.07300000,3402568199,3402568199,1767243650124,False,True
1850078768,2976.57000000,0.09510000,3402568200,3402568240,1767243650174,False,True
1850078769,2976.58000000,0.01800000,3402568241,3402568250,1767243650174,False,True
1850078770,2976.59000000,0.00860000,3402568251,3402568255,1767243650174,False,True
1850078771,2976.60000000,0.00130000,3402568256,3402568256,1767243650174,False,True
1850078772,2976.59000000,2.55890000,3402568257,3402568259,1767243650825,True,True
1850078773,2976.60000000,0.03430000,3402568260,3402568275,1767243651163,False,True
1850078774,2976.60000000,0.00760000,3402568276,3402568279,1767243651221,False,True
1850078775,2976.60000000,0.03060000,3402568280,3402568295,1767243653462,False,True
1850078776,2976.60000000,0.07360000,3402568296,3402568327,1767243653463,False,True
1850078777,2976.60000000,0.00390000,3402568328,3402568328,1767243653496,True,True
1850078778,2976.61000000,0.03000000,3402568329,3402568345,1767243654079,False,True
1850078779,2976.61000000,0.03000000,3402568346,3402568361,1767243654080,False,True
1850078780,2976.61000000,0.03000000,3402568362,3402568374,1767243654080,False,True
1850078781,2976.61000000,0.00480000,3402568375,3402568377,1767243654080,False,True
1850078782,2976.62000000,0.02520000,3402568378,3402568378,1767243654080,False,True
1850078783,2976.62000000,0.03000000,3402568379,3402568379,1767243654081,False,True
1850078784,2976.62000000,0.03000000,3402568380,3402568385,1767243654082,False,True
1850078785,2976.62000000,0.03000000,3402568386,3402568387,1767243654083,False,True
1850078786,2976.62000000,0.00330000,3402568388,3402568388,1767243654703,False,True
1850078787,2976.62000000,0.05240000,3402568389,3402568398,1767243655253,False,True
1850078788,2976.62000000,0.00330000,3402568399,3402568401,1767243655888,False,True
1850078789,2976.62000000,0.08550000,3402568402,3402568442,1767243655889,False,True
1850078790,2976.62000000,0.00380000,3402568443,3402568443,1767243656172,True,True
1850078791,2976.62000000,0.29640000,3402568444,3402568444,1767243658643,True,True
1850078792,2976.62000000,0.01710000,3402568445,3402568445,1767243658704,True,True
